IDENTIFIER	NoMGd1_4	NoMGd2_4	NoMGd3_4	NoMGd1_12	NoMGd2_12	NoMGd3_12	NoMGd1_24	NoMGd2_24	NoMGd3_24	MGd1_4	MGd2_4	MGd3_4	MGd1_12	MGd2_12	MGd3_12	MGd1_24	MGd2_24	MGd3_24
HNRNPK	1429.3	614.7	956.4	1271.9	1287.1	1058.0	1126.3	939.5	1301.3	1240.5	600.8	1110.6	1452.0	739.0	794.0	1342.3	1051.1	851.0
ANAPC5	1098.3	1306.6	1251.6	1410.0	1313.4	1009.3	1554.9	1361.2	1409.3	1165.7	1230.9	1189.6	1264.7	1646.1	1690.2	1314.6	1079.9	1644.9
SNORD73A	13361.7	12068.2	10819.3	13229.2	13098.8	11155.3	12926.1	10907.8	13091.5	12773.6	12835.9	12335.6	13315.2	10447.6	9877.4	12716.1	11369.8	12946.9
HNRNPU	1432.1	1242.3	1029.4	1083.6	1144.2	1183.9	1304.4	1686.2	1224.0	1023.6	1065.8	731.7	1089.8	1119.4	1184.9	1104.4	1158.2	1294.5
HNRNPU	2580.7	2320.8	2315.0	2739.7	2692.7	2336.4	3131.3	2674.5	2691.6	2521.6	2657.6	2235.1	2374.1	2124.7	2453.2	2577.6	2689.7	2552.0
EIF3A	933.2	474.1	1143.9	1133.9	971.2	1057.8	1093.9	921.7	1202.0	1491.2	615.4	823.8	1428.8	482.4	735.3	1730.6	1149.6	1011.7
EIF3A	722.7	1107.0	765.5	561.7	1257.5	823.2	745.7	1106.3	675.9	502.6	650.6	618.5	672.5	898.4	744.9	576.1	716.0	716.3
EIF3A	221.6	216.4	293.9	205.7	166.1	272.8	250.2	169.6	328.2	250.7	242.8	231.3	190.3	154.4	217.9	173.7	181.9	192.6
MIR3652	2068.1	1941.5	1449.5	1835.0	2048.7	1369.8	2041.1	1687.2	1560.3	2327.2	1934.6	1239.5	1936.8	1406.2	1215.2	1832.0	1895.3	1258.7
MIR3652	5164.7	2561.0	4590.3	5756.9	5736.8	3717.0	5331.2	4841.9	4210.7	3757.5	5290.9	4451.5	4970.4	4554.0	3666.6	4374.8	3188.5	3693.2
MSN	1209.4	640.5	859.9	843.8	1051.2	721.0	1103.1	720.3	1080.6	1123.6	946.1	1108.0	926.4	991.6	993.6	1156.4	1079.1	733.7
ACTN4	1483.8	1400.2	2040.0	1537.3	2097.8	1647.4	1787.5	1603.5	1635.0	2124.9	1411.3	1428.1	1771.5	1658.0	2170.0	1604.8	1465.8	1308.6
APP	910.0	358.8	433.0	490.0	504.1	497.6	751.7	360.4	538.0	855.5	566.9	468.9	502.4	339.7	233.0	920.3	858.1	343.9
PRKAR1A	905.9	281.9	374.2	880.7	521.0	501.2	883.7	244.9	860.9	1085.6	414.6	429.4	863.5	271.1	384.4	1100.5	729.6	465.6
PRKAR1A	916.7	855.2	754.9	739.9	1036.2	898.0	845.6	792.7	524.5	963.7	987.8	412.9	1037.4	834.6	611.8	1032.1	870.1	677.9
PRKAR1A	1654.0	729.6	782.1	1269.4	1567.2	907.3	2043.9	1189.5	1616.7	1584.3	1173.0	883.2	1875.8	1109.4	577.6	1601.7	1105.3	1005.9
DSP	746.5	454.4	628.7	803.6	672.3	696.3	701.3	750.5	1031.0	867.7	710.2	805.8	806.2	551.0	697.2	693.2	859.5	694.0
